
     Year         No. of      Temp.       Std.        95% Conf. Interval
      (AD)        Proxies     Anom.       Error       lower        upper
                             (deg. C)
    418.0000     18.0000     -0.0173      0.1364     -0.2901      0.2556
    419.0000     18.0000     -0.0124      0.1364     -0.2853      0.2604
    420.0000     18.0000     -0.0036      0.1364     -0.2765      0.2692
    421.0000     18.0000      0.0057      0.1364     -0.2672      0.2786
    422.0000     18.0000      0.0145      0.1364     -0.2584      0.2874
    423.0000     18.0000      0.0210      0.1364     -0.2519      0.2939
    424.0000     18.0000      0.0265      0.1364     -0.2464      0.2994
    425.0000     18.0000      0.0305      0.1364     -0.2423      0.3034
    426.0000     18.0000      0.0347      0.1364     -0.2382      0.3076
    427.0000     18.0000      0.0395      0.1364     -0.2334      0.3124
    428.0000     18.0000      0.0425      0.1364     -0.2304      0.3154
    429.0000     18.0000      0.0442      0.1364     -0.2287      0.3171
    430.0000     18.0000      0.0449      0.1364     -0.2280      0.3177
